media,country,week,articles
fr_FRA_lmonde,GRC,2014-12-15,5
es_MEX_univer,VEN,2015-06-08,9.3333333333
es_VEN_univer,MAR,2015-02-23,1
en_CHN_chinad,RUS,2014-05-12,7
es_BOL_larazo,LBY,2015-03-02,1
en_NZL_nzhera,YEM,2014-01-06,2
es_VEN_univer,LUX,2015-05-11,1
es_ESP_catalu,ITA,2014-05-26,1.5
es_MEX_univer,SLE,2015-03-09,0.5
en_IND_tindia,PAK,2015-05-25,7
es_VEN_univer,ALB,2014-09-22,0.5
es_CHL_mercur,LBN,2015-02-02,0.5
en_NZL_nzhera,PER,2014-04-14,5
en_USA_nytime,JPN,2014-06-23,3
en_AUS_austra,USA,2014-06-09,19.5
fr_DZA_xpress,ITA,2014-05-26,1
en_USA_nytime,MKD,2015-06-08,2
en_MYS_starmy,CUB,2015-02-16,3.5
fr_FRA_lmonde,CAF,2014-04-28,5
es_CHL_tercer,EGY,2015-06-08,1
en_NZL_nzhera,ARE,2014-07-07,3
en_NZL_nzhera,AUS,2015-01-26,8.5
en_NZL_nzhera,MAR,2015-01-05,3
en_CHN_mopost,PER,2014-01-27,0.5
en_JPN_jatime,ARG,2015-01-26,1
fr_BEL_lesoir,NGA,2015-01-12,3.5
en_JPN_jatime,PRK,2015-04-27,1
en_NZL_nzhera,AUT,2014-07-07,1
fr_FRA_lepari,LVA,2014-04-07,0.5
en_CAN_starca,VAT,2014-08-11,0.5
en_SGP_twoday,MAC,2015-06-01,1
en_CAN_starca,CUB,2014-03-03,1
en_SGP_twoday,MMR,2015-02-09,6
en_IND_hindti,PRK,2014-07-07,1
en_MYS_starmy,VEN,2014-06-16,1
en_GBR_dailyt,CUB,2014-09-08,1
en_MYS_starmy,TZA,2014-11-17,1
en_NZL_nzhera,IND,2015-01-12,28.1666666667
es_CHL_tercer,CHE,2014-12-29,0.5
en_SGP_twoday,CMR,2015-01-26,1
en_IND_hindti,USA,2014-12-15,14
en_MLT_tmalta,IRQ,2014-06-30,9.5
fr_FRA_lepari,TUR,2015-03-30,8
en_MYS_starmy,TUN,2015-05-11,2.5
en_CHN_mopost,GEO,2014-06-30,0.5
en_NZL_nzhera,PAK,2014-03-03,5
en_JPN_jatime,CAN,2014-10-06,0.5
en_JPN_jatime,KEN,2014-08-11,2
fr_FRA_lmonde,VAT,2014-01-20,3
es_BOL_larazo,NGA,2014-11-10,2
en_NZL_nzhera,PSE,2014-12-22,7.5
es_BOL_larazo,AFG,2014-04-07,1
fr_FRA_lmonde,BEL,2014-07-28,1
en_AUS_austra,TUN,2014-09-29,1.5
en_GBR_dailyt,YEM,2015-02-16,1
en_USA_wapost,JPN,2015-05-25,3
en_JPN_jatime,YEM,2014-05-05,3
en_GBR_guardi,MDV,2014-12-01,1
es_BOL_larazo,VAT,2014-05-26,4
es_ESP_catalu,HKG,2014-09-22,0.5
fr_FRA_lepari,HKG,2014-11-24,1
en_CHN_chinad,ARG,2014-07-07,4
en_SGP_twoday,CHN,2015-05-11,47.5
en_SGP_twoday,NLD,2015-01-19,2.5
es_BOL_larazo,EGY,2015-06-15,2
en_GBR_guardi,KEN,2015-03-30,40.5
en_IND_tindia,LKA,2014-10-13,1
es_ESP_catalu,FRA,2014-06-30,14
fr_FRA_lmonde,DZA,2015-01-12,3
